Fix;Lat;Long
LEBAH;008.44.49.000S;114.55.19.000E
LELAM;010.02.21.000S;115.24.17.000E
LEMEP;008.28.49.000S;115.04.37.000E
LIPAS;008.47.57.000S;114.07.54.000E
LUSPI;008.50.48.000S;114.41.10.000E
LUWAK;008.11.37.260S;113.57.01.480E
MANIZ;008.03.53.000S;114.53.37.000E
MENAK;008.26.44.000S;115.40.59.000E
MEONG;009.19.18.000S;116.44.35.000E
MESOD;009.08.54.000S;115.31.30.000E
MOSLU;009.25.10.000S;115.49.45.000E
MUDIK;008.12.18.000S;116.36.03.000E
MUMGI;008.31.50.000S;114.37.21.000E
MUNAP;008.27.34.000S;114.41.41.000E
NINAM;008.15.34.000S;114.36.28.000E
NISES;009.11.56.000S;115.08.27.000E
NOMIP;008.50.54.000S;116.04.35.000E
NOGUS;009.02.59.000S;114.55.44.000E
NUSNA;007.54.05.000S;114.38.52.000E
OLTIK;008.05.35.000S;116.17.19.000E
ONEVA;009.23.58.000S;115.24.53.000E
ORINI;009.25.09.650S;115.20.27.120E
OSIVA;008.36.24.000S;113.58.06.000E
OVKAS;009.00.34.000S;114.47.46.000E
PAKIT;008.36.25.000S;115.26.13.000E
PALSU;009.51.25.000S;115.59.43.000E
PITON;008.18.19.530S;116.30.55.260E
POLEM;008.31.57.000S;114.32.16.000E
POLIG;007.57.08.000S;114.28.27.000E
POROV;009.15.43.000S;114.39.29.000E
PUGAT;008.28.54.000S;114.02.24.000E
RAYAP;008.30.28.060S;116.33.19.420E
RUBAH;009.25.08.000S;115.00.13.000E
RUMUP;008.37.55.000S;114.58.10.000E
RUTRI;009.07.43.000S;116.33.37.000E
RUVBA;008.33.05.000S;115.54.18.000E
SAKMI;009.59.36.000S;115.02.42.000E
SANUR;008.44.43.000S;115.25.10.000E
SAPOM;007.57.53.000S;114.16.04.000E
SAREK;008.39.38.000S;114.07.45.000E
SAYAP;009.31.34.000S;116.34.33.000E
SEKNO;009.03.45.000S;115.30.17.000E
SEPAN;008.05.56.170S;114.07.06.150E
SIDEM;008.37.49.000S;116.06.35.000E
SIFAH;007.38.24.000S;114.30.21.000E
SOANG;007.35.09.000S;115.35.27.000E
SOTNA;008.28.47.000S;114.45.19.000E
SUGSO;007.52.55.000S;115.09.39.000E
SUMOD;008.58.55.000S;115.58.16.000E
SURIF;008.31.32.000S;114.26.10.000E
TANUT;008.38.03.000S;114.46.04.000E
TAWES;008.25.05.000S;115.41.04.000E
TAWON;008.37.32.000S;115.35.02.000E
TIREX;008.33.24.000S;116.22.07.000E
TUPAI;009.45.22.000S;116.00.33.000E
UDIBA;008.28.51.000S;115.23.54.000E
UGUSA;009.58.03.000S;115.29.23.000E
UMANG;009.25.10.000S;115.49.45.000E
VASNU;008.22.42.000S;116.08.43.000E
AGILU;008.36.24.000S;117.22.34.000E
ALEGU;008.18.15.000S;116.49.20.000E
ATIXA;008.32.01.000S;116.02.20.000E
ATODI;009.03.03.000S;116.39.30.000E
ATSED;008.40.35.000S;116.39.21.000E
AWANG;008.54.33.600S;116.27.51.300E
BIVEP;008.38.34.000S;116.15.48.000E
BUSDA;008.59.11.000S;116.10.54.000E
BUVEG;008.18.19.000S;116.04.54.000E
DL401;008.38.07.200S;116.07.26.400E
DL402;008.41.35.400S;116.11.44.600E
DL601;008.52.39.800S;116.25.29.800E
DL602;008.49.22.700S;116.21.24.800E
DOXEN;008.35.01.000S;116.33.48.000E
DUKUX;008.52.15.000S;116.25.00.000E
ELBMA;008.45.54.140S;116.17.05.890E
ESGAM;008.35.07.000S;115.52.44.000E
ESMES;009.02.43.000S;116.21.17.000E
ESNOR;008.32.19.000S;116.08.16.000E
IDMAN;008.43.03.000S;116.58.02.000E
IGAGO;008.46.40.000S;116.32.00.000E
IGUKI;008.39.35.000S;116.36.17.000E
IKUBU;008.47.46.000S;116.41.24.000E
ISKUS;008.52.05.000S;116.32.05.000E
KASVU;008.07.22.000S;116.09.12.000E
LEDAR;008.15.40.000S;116.11.38.000E
LEKIP;008.47.27.000S;116.02.43.000E
LIDMI;008.45.53.000S;116.03.51.000E
MABLU;S08.43.23.000;SE16.28.48.000;E
MEVAS;008.18.48.000S;115.57.45.000E
NOLUB;008.36.13.300S;116.05.05.100E
OGUMO;009.00.03.000S;116.17.22.000E
OLTOR;008.29.20.000S;116.54.18.000E
PAMKU;008.04.06.000S;115.57.33.000E
PAMTA;008.21.09.000S;115.55.14.000E
PEGPI;008.21.26.000S;116.13.19.000E
PILIB;008.33.13.000S;116.39.55.000E
PULIR;008.53.20.000S;117.00.43.000E
REBOP;008.32.58.000S;116.01.11.000E
RIGTI;008.39.17.000S;116.27.56.000E
RINRU;008.48.36.000S;116.34.56.000E
SAKOK;008.26.47.000S;116.12.51.000E
SAROP;009.19.10.000S;116.32.18.000E
SUGEL;008.33.05.000S;116.16.44.000E
TANJU;008.12.50.820S;116.03.25.930E
TOLOP;008.09.57.000S;115.49.09.000E
TULVO;008.22.50.000S;117.18.58.000E
TUPSA;008.24.42.000S;117.11.54.000E
UNSEL;008.52.29.000S;115.55.30.000E
UNVOS;008.41.32.000S;116.11.43.000E
VALNA;008.44.50.000S;116.23.20.000E
WLBMA;008.44.57.860S;116.15.56.000E
DUKAM;008.22.07.000S;114.30.48.100E
DY401;008.20.01.500S;114.11.00.700E
